App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Avg_Polarity,Avg_Subjectivity,Review_Count
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,,1000000,Free,0.0,Everyone,Auto & Vehicles,"August 2, 2018",Varies with device,4.0.3 and up,0.4408648682441296,0.5316347888222889,88
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000,Free,0.0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up,-0.0379858104858104,0.4216201699535033,99
Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000,Free,0.0,Everyone,Beauty,"July 25, 2018",1.9,4.0.3 and up,0.4709130658436213,0.5911601019008427,81
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000,Free,0.0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up,0.0991203703703703,0.5278946208112875,63
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,,10000000,Free,0.0,Everyone,Beauty,"August 3, 2017",Varies with device,Varies with device,0.1999936618165784,0.4508201058201058,36
Filters for B Live,BEAUTY,4.4,2280,24.0,500000,Free,0.0,Everyone,Beauty,"May 14, 2018",1.1.0,4.0 and up,0.1680176767676767,0.3955555555555555,30
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2,100000,Free,0.0,Mature 17+,Beauty,"March 1, 2017",1.0.2.0,1.6 and up,0.4306034482758621,0.5574667031563583,29
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,,100000000,Free,0.0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device,0.0651918671343387,0.4601174881982962,117
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,,10000000,Free,0.0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up,0.115840791609706,0.4773699162679426,38
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060,,10000000,Free,0.0,Everyone,Books & Reference,"May 18, 2018",Varies with device,Varies with device,0.2387310606060605,0.4623211279461279,8
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0.0,Everyone,Books & Reference,"March 27, 2018",2.1,4.1 and up,0.25,0.2666666666666666,6
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130,,10000000,Free,0.0,Everyone,Books & Reference,"June 28, 2018",Varies with device,Varies with device,0.2777048112144266,0.4724487336025797,39
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0.0,Everyone,Books & Reference,"May 27, 2018",1.911805270,2.3 and up,0.2455511849261849,0.4125768213268213,39
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17.0,1000000,Free,0.0,Everyone,Books & Reference,"July 20, 2018",2.3.18,4.1 and up,0.2093258302268718,0.4358259579926246,30
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37.0,5000000,Free,0.0,Everyone,Books & Reference,"June 25, 2018",5.0.6,4.0 and up,0.3425324877668627,0.5815682157348824,39
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0.0,Everyone,Books & Reference,"July 11, 2018",1.9,4.4 and up,0.354636544011544,0.421768278018278,33
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,,5000000,Free,0.0,Everyone,Books & Reference,"July 31, 2018",Varies with device,Varies with device,0.2726303043825365,0.5161272868415725,37
HTC Help,BOOKS_AND_REFERENCE,4.2,8342,,10000000,Free,0.0,Everyone,Books & Reference,"August 28, 2017",9.00.950462,7.0 and up,0.1068702125420875,0.3478900462962963,40
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10.0,1000000,Free,0.0,Everyone,Books & Reference,"July 28, 2018",2.5.3,4.0 and up,0.3935134237107921,0.4021926501860712,38
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0.0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,0.3404504504504504,0.4903003003003003,37
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0.0,Everyone,Books & Reference,"July 29, 2018",1.15,4.0.3 and up,0.3927835497835498,0.5550324675324675,30
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42.0,500000,Free,0.0,Everyone,Books & Reference,"February 15, 2018",3.1.7.9,2.2 and up,0.2426242236024844,0.5973257418909593,23
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,,50000000,Free,0.0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device,0.2062907848324514,0.4105713383838384,72
Google My Business,BUSINESS,4.4,70991,,5000000,Free,0.0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.2684362859362859,0.4494172494172495,117
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9,500000,Free,0.0,Everyone,Business,"July 8, 2018",3.3,4.1 and up,0.3937034821903243,0.4980359041543252,38
Google Primer,BUSINESS,4.4,62272,18.0,10000000,Free,0.0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,0.75,0.675,2
Facebook Pages Manager,BUSINESS,4.0,1279184,,50000000,Free,0.0,Everyone,Business,"August 2, 2018",Varies with device,Varies with device,-0.0610827285459638,0.4408528562940327,34
Box,BUSINESS,4.2,159872,,10000000,Free,0.0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.4100005087505087,0.4350864875864875,117
Call Blocker,BUSINESS,4.6,188841,3.2,5000000,Free,0.0,Everyone,Business,"June 21, 2018",1.1.13,4.0 and up,0.0279725829725829,0.6554310966810967,3
Easy Installer - Apps On SD,BUSINESS,4.1,23055,,5000000,Free,0.0,Everyone,Business,"June 8, 2018",Varies with device,Varies with device,-0.0091103341103341,0.3106934731934732,39
Facebook Ads Manager,BUSINESS,4.1,19023,,1000000,Free,0.0,Everyone,Business,"August 1, 2018",99.0.0.35.75,4.1 and up,0.2034005359719645,0.3192627293341579,35
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,,1000000,Free,0.0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device,0.2431606761294261,0.5183336855452241,13
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14.0,10000000,Free,0.0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605,0.4279001891501892,74
Box,BUSINESS,4.2,159872,,10000000,Free,0.0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.4100005087505087,0.4350864875864875,117
Google Ads,BUSINESS,4.3,29313,20.0,5000000,Free,0.0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,0.4323986484194818,72
Google My Business,BUSINESS,4.4,70991,,5000000,Free,0.0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.2684362859362859,0.4494172494172495,117
FreshBooks Classic,BUSINESS,4.1,1802,26.0,100000,Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.1005298927005791,0.4721179018535233,77
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20.0,500000,Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.0378278767889157,0.3694698121443251,66
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48.0,500000,Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586,0.5998381895881896,80
Asana: organize team projects,BUSINESS,4.3,20815,10.0,1000000,Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.2306454630830486,0.5227672402646754,43
AdWords Express,BUSINESS,4.1,7149,11.0,1000000,Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394,0.2716686868686869,50
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5,100000,Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.4486644869215291,0.5223977196512407,71
Cisco Webex Meetings,BUSINESS,4.4,108741,28.0,10000000,Free,0.0,Everyone,Business,"July 20, 2018",11.1.0,4.3 and up,0.1035770248270248,0.4623848528015195,39
Cisco Webex Teams,BUSINESS,4.2,1661,46.0,100000,Free,0.0,Everyone,Business,"August 2, 2018",3.0.4651,4.4 and up,0.1294181246993747,0.4597798821548822,40
Box,BUSINESS,4.2,159872,,10000000,Free,0.0,Everyone,Business,"July 31, 2018",Varies with device,Varies with device,0.4100005087505087,0.4350864875864875,117
Google Ads,BUSINESS,4.3,29313,20.0,5000000,Free,0.0,Everyone,Business,"July 30, 2018",1.12.0,4.0.3 and up,0.1399653371320038,0.4323986484194818,72
Google My Business,BUSINESS,4.4,70991,,5000000,Free,0.0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up,0.2684362859362859,0.4494172494172495,117
FreshBooks Classic,BUSINESS,4.1,1802,26.0,100000,Free,0.0,Everyone,Business,"April 18, 2018",1.7.14,4.2 and up,0.1005298927005791,0.4721179018535233,77
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20.0,500000,Free,0.0,Everyone,Business,"July 3, 2018",3.19.005,4.1 and up,-0.0378278767889157,0.3694698121443251,66
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159,48.0,500000,Free,0.0,Everyone,Business,"July 20, 2018",6.1.2,4.0.3 and up,0.4173319523358586,0.5998381895881896,80
Asana: organize team projects,BUSINESS,4.3,20815,10.0,1000000,Free,0.0,Everyone,Business,"July 26, 2018",6.4.4,5.0 and up,0.2306454630830486,0.5227672402646754,43
AdWords Express,BUSINESS,4.1,7149,11.0,1000000,Free,0.0,Everyone,Business,"July 31, 2018",2.6.158,4.0 and up,0.1948439393939394,0.2716686868686869,50
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5,100000,Free,0.0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up,0.4486644869215291,0.5223977196512407,71
Genius Scan - PDF Scanner,BUSINESS,4.4,42492,,1000000,Free,0.0,Everyone,Business,"July 11, 2018",Varies with device,Varies with device,0.2431606761294261,0.5183336855452241,13
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14.0,10000000,Free,0.0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,0.3130631605631605,0.4279001891501892,74
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,,50000000,Free,0.0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device,0.2062907848324514,0.4105713383838384,72
DC Comics,COMICS,4.2,25671,,1000000,Free,0.0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device,0.478809473705307,0.605346532325699,36
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8,10000,Free,0.0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,0.3004292929292929,0.3899494949494949,10
Gmail,COMMUNICATION,4.3,4604324,,1000000000,Free,0.0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,0.0713831018518518,0.4659200872189153,64
Hangouts,COMMUNICATION,4.0,3419249,,1000000000,Free,0.0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.2515033286340852,0.5312487273123238,114
Firefox Browser fast & private,COMMUNICATION,4.4,3075028,,100000000,Free,0.0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,0.1101420189894564,0.5187862517847506,62
Contacts,COMMUNICATION,4.3,66602,,50000000,Free,0.0,Everyone,Communication,"June 26, 2018",2.8.4.201036949,5.0 and up,0.0122487102300894,0.4721338263866459,38
Browser 4G,COMMUNICATION,4.3,192948,6.6,10000000,Free,0.0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,0.3370836118538324,0.4429032976827094,34
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1,10000000,Free,0.0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,0.0620025918195561,0.4195424700960415,40
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0,1000000,Free,0.0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.2092485894097222,0.5538280971777065,64
Google Voice,COMMUNICATION,4.2,171031,,10000000,Free,0.0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,0.1524792850378787,0.1962215909090909,8
Chrome Dev,COMMUNICATION,4.4,63543,,5000000,Free,0.0,Everyone,Communication,"August 2, 2018",69.0.3497.24,Varies with device,0.333793360519551,0.5207789454813264,39
Android Messages,COMMUNICATION,4.2,781810,,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,0.071675937548939,0.5132160195532288,43
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237,,500000000,Free,0.0,Everyone,Communication,"July 31, 2018",37.1.206017801.DR37_RC14,4.4 and up,0.2856898148148148,0.4979907407407407,18
AT&T Visual Voicemail,COMMUNICATION,3.7,13761,,10000000,Free,0.0,Everyone,Communication,"June 27, 2018",Varies with device,Varies with device,0.0299755411255411,0.4525938672438672,25
GMX Mail,COMMUNICATION,4.3,258556,,10000000,Free,0.0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device,0.3400470779220779,0.5407398018648019,30
Hangouts,COMMUNICATION,4.0,3419433,,1000000000,Free,0.0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.2515033286340852,0.5312487273123238,114
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14.0,5000000,Free,0.0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666,0.5458333333333334,6
Google Voice,COMMUNICATION,4.2,171031,,10000000,Free,0.0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,0.1524792850378787,0.1962215909090909,8
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24.0,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,0.2024882756132756,0.4398316960816961,26
Android Messages,COMMUNICATION,4.2,781810,,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device,0.071675937548939,0.5132160195532288,43
GroupMe,COMMUNICATION,4.5,330761,,10000000,Free,0.0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device,0.1184400408619158,0.518137446598985,39
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,,100000000,Free,0.0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up,0.1544232523738662,0.4618904521404521,35
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0,1000000,Free,0.0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.2092485894097222,0.5538280971777065,64
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32.0,1000000,Free,0.0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up,0.1689682088744588,0.3770225018037518,40
Firefox Browser fast & private,COMMUNICATION,4.4,3075118,,100000000,Free,0.0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device,0.1101420189894564,0.5187862517847506,62
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1,50000000,Free,0.0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,0.0125,0.6875,2
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7,10000000,Free,0.0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,0.1772660982370803,0.5062402473518545,40
Contacts+,COMMUNICATION,4.2,190613,11.0,10000000,Free,0.0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,0.4108145831994516,0.4530827603196025,38
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7,10000000,Free,0.0,Everyone,Communication,"March 5, 2017",196,2.1 and up,0.2713527987019366,0.4956886281403933,29
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14.0,5000000,Free,0.0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666,0.5458333333333334,6
Full Screen Caller ID,COMMUNICATION,4.2,104990,10.0,5000000,Free,0.0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up,0.3455761241446725,0.4766617790811339,31
Call Blocker,COMMUNICATION,4.1,17529,10.0,1000000,Free,0.0,Everyone,Communication,"July 26, 2018",5.86,4.0.3 and up,0.0279725829725829,0.6554310966810967,3
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20.0,10000000,Free,0.0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,0.3907407407407408,0.5064814814814815,1
CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308,,5000000,Free,0.0,Everyone,Communication,"June 22, 2018",Varies with device,Varies with device,0.2178146258503401,0.429829931972789,14
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,,10000000,Free,0.0,Everyone,Communication,"May 24, 2018",Varies with device,Varies with device,0.1241623376623376,0.6151919191919192,3
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11.0,5000000,Free,0.0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,-0.0416666666666666,0.2916666666666667,3
Burner - Free Phone Number,COMMUNICATION,4.3,14873,,1000000,Free,0.0,Everyone,Communication,"July 12, 2018",Varies with device,Varies with device,0.0653009259259259,0.6361111111111111,6
Caller ID +,COMMUNICATION,4.0,9498,0.115234375,1000000,Free,0.0,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up,0.35,0.6000000000000001,1
Gmail,COMMUNICATION,4.3,4604483,,1000000000,Free,0.0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device,0.0713831018518518,0.4659200872189153,64
All Email Providers,COMMUNICATION,4.1,20901,7.3,1000000,Free,0.0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up,0.215,0.6066666666666667,5
GO Notifier,COMMUNICATION,4.2,124346,0.6787109375,10000000,Free,0.0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up,0.0675195892751039,0.4230678104575163,34
Hangouts,COMMUNICATION,4.0,3419513,,1000000000,Free,0.0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,0.2515033286340852,0.5312487273123238,114
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56.0,100000,Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.0337785947712418,0.5553312065566968,102
Hinge: Dating & Relationships,DATING,4.2,7779,12.0,500000,Free,0.0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.1567988023785125,0.4962808119148699,69
BBW Dating & Plus Size Chat,DATING,4.4,12632,29.0,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.131246684996685,0.4910167553917554,111
CMB Free Dating App,DATING,4.0,48845,40.0,1000000,Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040017,0.5421654119038425,71
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1,5000000,Free,0.0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up,0.3396969696969696,0.5836531986531986,33
Black People Meet Singles Date,DATING,3.9,10212,5.0,1000000,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.2493412587142294,0.5053452310676337,28
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27.0,10000,Free,0.0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,0.3019262941919192,0.4773816287878787,32
Free Dating Hook Up Messenger,DATING,3.3,1157,21.0,100000,Free,0.0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.1472884528311299,0.5223361741189635,64
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24.0,100000,Free,0.0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,0.3076776351954923,0.5519399908953481,40
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31.0,500000,Free,0.0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.3245702815702815,0.5885129315129315,78
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42194,,5000000,Free,0.0,Mature 17+,Dating,"July 24, 2018",Varies with device,Varies with device,0.0329653679653679,0.3613528138528138,35
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0,100000,Free,0.0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up,0.1703722127653048,0.5180704969575584,38
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,0.3441734006734007,0.5173434343434344,75
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9,1000000,Free,0.0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,0.1178362009929806,0.4473244857778756,59
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13.0,500000,Free,0.0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,0.3325396825396825,0.5087301587301588,7
Christian Dating For Free App,DATING,3.9,8722,13.0,500000,Free,0.0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,0.0980260328993856,0.4786601830996281,76
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2,1000000,Free,0.0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,-0.069639794168096,0.4602968892277068,53
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,,100000,Free,0.0,Mature 17+,Dating,"December 28, 2017",1.0.5,4.0 and up,-0.0503258329564299,0.559581583424867,67
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418,,10000000,Free,0.0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device,0.1380524855853803,0.4210644179723127,74
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41.0,100000,Free,0.0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,0.2008683523266856,0.6372210351377018,78
BBWCupid - BBW Dating App,DATING,3.5,241,2.8,50000,Free,0.0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up,0.1269117330480966,0.4716928441928442,39
ChatVideo Meet new people,DATING,4.2,63986,20.0,5000000,Free,0.0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up,0.2319198256698256,0.3930076342576343,37
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13.0,500000,Free,0.0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,0.4209925788497217,0.5106957328385899,70
CMB Free Dating App,DATING,4.0,48845,40.0,1000000,Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040017,0.5421654119038425,71
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56.0,100000,Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.0337785947712418,0.5553312065566968,102
Hinge: Dating & Relationships,DATING,4.2,7779,12.0,500000,Free,0.0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.1567988023785125,0.4962808119148699,69
BBW Dating & Plus Size Chat,DATING,4.4,12632,29.0,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.131246684996685,0.4910167553917554,111
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738,27.0,10000,Free,0.0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up,0.1741083044249896,0.4679461145253556,32
95Live -SG#1 Live Streaming App,DATING,4.1,4953,15.0,1000000,Free,0.0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up,0.069002331002331,0.4559274799274799,78
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31.0,500000,Free,0.0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.3245702815702815,0.5885129315129315,78
2RedBeans,DATING,4.0,337,32.0,10000,Free,0.0,Mature 17+,Dating,"July 31, 2018",2.8.0,4.3 and up,0.4121991790261021,0.5978684477915248,39
